,actual,predicted,difference
21599,-5.931012526559256,-6.0704701182367,0.1394575916774441
49061,-5.959533818886374,-7.448267657664843,1.4887338387784688
15767,-0.7032892765592589,-2.205112081368175,1.5018228048089162
60480,-4.337670326559261,-9.1069851240761,4.76931479751684
27820,-24.46425321888638,-20.146384581294022,4.317868637592358
24764,-3.95948722655926,-3.593435872696052,0.3660513538632082
51690,-10.92189532655925,-10.58003655044762,0.3418587761116303
45402,-9.877812318886374,-7.488486808043142,2.389325510843232
29008,-17.04627646888638,-16.92541500715895,0.12086146172742929
34658,-11.07388901888638,-11.028512176030663,0.04537684285571686
29702,-21.446869568886388,-20.621047008010763,0.8258225608756256
51065,-10.901637526559254,-10.427818841868215,0.4738186846910395
12528,-14.81146381888637,-15.40588720592086,0.5944233870344906
11868,-17.561982568886368,-17.804199933247926,0.24221736436155794
40554,-14.792292118886383,-12.600349271924511,2.1919428469618722
15614,-10.325684726559244,-6.871686288245298,3.4539984383139455
39507,-22.893306818886384,-20.443184609931546,2.450122208954838
60053,-19.04322242655924,-17.828887871636503,1.2143345549227362
20548,-16.780501126559244,-17.152895646551592,0.37239451999234774
5981,-9.84194926888637,-9.045796956110431,0.7961523127759396
32477,-15.017978668886377,-16.811617332799962,1.793638663913585
33506,-16.718891018886385,-15.69138026365408,1.0275107552323046
49264,-10.639208318886364,-10.549843802919495,0.08936451596686901
10639,-17.98544701888638,-18.286033793110338,0.30058677422395874
17041,-16.673746776559256,-16.331692807590308,0.3420539689689477
56658,-15.97712762655925,-15.0965419214366,0.88058570512265
40173,-25.72707991888638,-23.87371890316126,1.8533610157251168
31447,-22.630420418886377,-21.715877176953647,0.91454324193273
61329,-9.08353732655925,-9.090102399744364,0.006565073185113235
29184,-27.266166768886382,-24.781368683879847,2.4847980850065348
58074,-4.256048026559254,-1.3945503191788047,2.8614977073804493
24432,-4.840027576559249,-5.244772524311921,0.4047449477526719
19221,-4.550426126559243,-4.368177789538716,0.18224833702052656
58272,-5.947035026559247,-4.114332729519067,1.8327022970401803
45593,-15.188724818886374,-11.15703211765916,4.031692701227215
45595,-21.39651781888637,-11.121421734060162,10.275096084826208
51452,8.115488673440746,3.7353376495030624,4.3801510239376835
13723,-14.288334618886385,-15.234395856630982,0.9460612377445976
58247,-3.061834876559244,-2.8048225153013884,0.25701236125785565
13996,-14.11502636888638,-14.701635040749977,0.5866086718635977
33510,-17.21654911888638,-16.33663803922022,0.8799110796661616
3882,-8.191156618886371,-8.231237592146393,0.04008097326002158
23069,-17.44184032655926,-16.347420966402474,1.0944193601567846
52365,-42.77052631888637,-44.859242600225066,2.088716281338698
21122,-15.75427502655924,-14.475193757503948,1.2790812690552915
18305,-2.824898226559254,-4.408329681260325,1.5834314547010706
60337,-9.770757626559243,-9.691263053484182,0.07949457307506158
39831,-16.24118911888637,-16.358107009209455,0.11691789032308364
47095,-4.409361818886385,-7.827374505248779,3.4180126863623936
26628,-9.83485511888637,-6.8981728090144205,2.9366823098719497
33935,-16.954822518886377,-16.60743855542344,0.34738396346293854
39995,-13.87043466888638,-15.386800925235473,1.5163662563490927
33240,-12.69898021888638,-12.53928151475267,0.15969870413371012
48999,-12.851920318886387,-11.940176077873062,0.9117442410133254
26005,-12.56679582655924,-8.80109775315346,3.7656980734057797
39920,-18.768745918886385,-20.07108123674313,1.3023353178567447
38064,-10.634701568886374,-10.504988379107642,0.12971318977873203
61985,-6.185988876559248,-7.421550708939625,1.2355618323803768
8914,-16.68748266888638,-13.896016823704729,2.7914658451816496
33771,-8.625241018886374,-9.718420875592534,1.0931798567061595
42882,-18.719117818886374,-20.53155175101228,1.8124339321259058
29920,-15.01571391888638,-14.616485061832389,0.39922885705399125
18234,-19.74393042655926,-15.43595285003895,4.30797757652031
9520,-18.878049818886385,-17.728489167020015,1.14956065186637
36247,-7.912781218886369,-9.512672083254772,1.5998908643684029
9421,-18.23944541888638,-18.923169311850007,0.6837238929636271
12426,-20.105492918886373,-19.355359009196082,0.750133909690291
6433,-9.091886918886376,-13.453275076691714,4.361388157805338
280,-32.46176081888639,-30.604912023555283,1.856848795331107
2758,-13.767584718886372,-13.844847362943712,0.07726264405734007
46491,-1.6777743188863816,-2.335537571811345,0.6577632529249633
22425,-6.386505826559242,-7.537741980808406,1.1512361542491636
51686,-11.993367226559242,-11.472366276067753,0.521000950491489
31200,-21.572685618886386,-21.82050837984579,0.24782276095940503
42283,-13.110918068886368,-16.62152555612183,3.510607487235463
53133,-17.95214201888638,-18.477022241783054,0.5248802228966731
14869,-5.622796626559248,-6.269157916835791,0.646361290276543
33730,-7.2740501688863795,-7.777069278193623,0.5030191093072434
14944,-5.024912826559257,-7.772762960723163,2.7478501341639063
13039,-12.55191981888638,-11.838000152407298,0.7139196664790823
45523,-12.513705318886384,-8.62411348322854,3.8895918356578445
15937,-2.0363088765592448,-2.932082590920776,0.8957737143615314
20871,-17.926474276559247,-17.16034286159353,0.7661314149657166
53750,-26.164888226559256,-24.683028557518597,1.4818596690406594
21525,-5.478298676559247,-6.921747949637689,1.4434492730784418
41700,-13.99254616888638,-13.356189114205215,0.6363570546811648
18380,-2.5986949765592424,-3.639527110259996,1.0408321337007536
2247,-10.199651526559247,-13.397881423213756,3.1982298966545084
47737,-2.628178818886372,-3.481032769793182,0.8528539509068098
49772,0.3918986811136271,-1.2257969447653314,1.6176956258789585
54532,-15.930860026559255,-13.365576749339436,2.5652832772198195
6804,-16.159741918886372,-14.785373264906923,1.3743686539794489
32814,-15.375441818886376,-15.99953379927091,0.6240919803845344
51106,-7.502999276559249,-9.395250489452382,1.8922512128931324
28891,-20.488691918886374,-21.78075337424187,1.292061455355494
41181,-16.667550368886385,-18.430890580633935,1.7633402117475505
57466,-28.93846922655925,-30.322938733260717,1.3844695067014676
31506,-19.920834068886368,-18.655884935052775,1.2649491338335928
943,-10.50471912655925,-11.029686610687685,0.5249674841284353
8296,-16.689298368886373,-16.63674221144346,0.0525561574429112
24876,-7.063191076559262,-6.89130256165162,0.1718885149076419
48415,-5.338405818886375,-3.7728094084597363,1.565596410426639
52707,-42.58953951888637,-44.71819584444369,2.1286563255573228
4981,-13.99620676888637,-16.750226208235556,2.754019439349186
15083,-14.064389526559236,-13.3220878331983,0.7423016933609361
27708,-8.517698618886374,-11.891509804347969,3.3738111854615944
10099,-14.924372718886378,-15.749514502257151,0.825141783370773
25927,-4.25807322655926,-4.6205216856215685,0.3624484590623087
43898,-22.001188768886383,-15.4065453022816,6.594643466604783
16790,-15.026762026559252,-14.658580936327615,0.36818109023163714
31797,-21.68657066888638,-21.75442400960217,0.06785334071579285
44791,-18.75598286888638,-20.36721476737858,1.6112318984921998
48813,-10.127161318886383,-9.592727253494582,0.5344340653918014
48387,0.96074218111362,-3.6458810655083655,4.606623246621986
53313,-15.285638718886378,-15.353008365964142,0.06736964707776316
43519,-19.05229131888638,-16.827158163089727,2.2251331557966516
23160,-14.012077026559252,-15.587729600030471,1.5756525734712188
42975,-15.190198218886376,-10.48387633457032,4.706321884316056
4187,-10.601831468886378,-10.90721316590519,0.305381697018813
5488,-15.090498718886384,-13.352220121470758,1.7382785974156256
14064,-12.310880518886377,-15.015615161987446,2.7047346431010695
14701,-10.66358207655925,-11.30375104430738,0.6401689677481297
33644,-7.662605218886373,-7.70283262200765,0.040227403121276595
25561,-5.026625476559259,-5.200401144127081,0.17377566756782237
43739,-12.07282571888638,-15.12667697865465,3.0538512597682708
1879,-5.749231176559247,-7.658312086852204,1.909080910292957
45888,-4.42197481888638,-3.5073268737594816,0.9146479451268981
29499,-10.671045418886376,-19.224128384892285,8.55308296600591
1498,-20.70901482655925,-21.129689876860656,0.42067505030140495
45462,-3.89324081888638,-3.7038701564262126,0.18937066246016743
31166,-16.412609868886367,-17.686125273432484,1.2735154045461172
3156,-13.728355118886371,-14.39645592086442,0.6681008019780492
46062,-8.171135818886366,-6.541463979748892,1.6296718391374743
8617,-14.766317818886368,-14.145607852520984,0.6207099663653839
55946,-9.501252076559252,-9.667268767912397,0.16601669135314445
61470,-5.813302076559252,-5.643304307484292,0.16999776907495967
8874,-17.928236218886372,-13.810839221301151,4.117396997585221
53046,-25.118639018886373,-23.632185000775795,1.486454018110578
20692,-12.62153722655924,-12.493570892657242,0.1279663339019983
24639,-6.139464126559259,-4.0237498902766795,2.11571423628258
9234,-4.602402868886383,-6.613421560856018,2.0110186919696353
58342,-2.60425082655925,-2.8735926154424067,0.26934178888315685
17128,-16.148214226559247,-16.076301727522427,0.07191249903682007
33732,-5.935509068886379,-7.556823398255408,1.6213143293690289
9055,-19.58489781888638,-19.78750118174728,0.20260336286090208
8913,-12.833718818886371,-13.878313603373243,1.044594784486872
55843,-5.559758926559239,-6.43112336624918,0.8713644396899412
17411,-15.385515326559242,-13.983339322486547,1.402176004072695
253,-12.908212818886373,-12.877487111856011,0.030725707030361704
49718,0.9854111811136156,-0.03777127735522585,1.0231824584688414
43509,-16.340217968886382,-16.99234451597458,0.6521265470881978
15798,-6.793314676559261,-6.982205771636849,0.1888910950775884
35816,-13.314229868886375,-12.510506522704311,0.8037233461820641
47896,-1.732029818886378,-4.274672180338759,2.5426423614523808
35345,-20.287237468886374,-17.081715574036796,3.2055218948495785
48195,0.7949801811136261,0.6893646133277004,0.10561556778592573
41943,-17.66586426888637,-15.9112534257809,1.7546108431054694
22213,-4.708332126559254,-2.2875663094668788,2.4207658170923754
9008,-15.52970301888637,-16.198062250658918,0.6683592317725484
54201,-9.372203026559246,-7.41772220458776,1.9544808219714858
44890,-17.596333468886375,-18.886818071142123,1.2904846022557486
60650,-12.09028752655925,-11.15091942465273,0.9393681019065188
32127,-3.623582368886378,-5.849455622848624,2.225873253962246
39956,-33.48016551888638,-30.810851216064535,2.669314302821846
18533,-8.33857147655925,-10.6855529410422,2.3469814644829494
22691,-5.036296326559237,-6.244734261235961,1.2084379346767244
31858,-15.61951976888638,-17.595987671050423,1.9764679021640426
39090,-13.273587668886368,-12.412351666967982,0.8612360019183853
39564,-15.636435518886376,-18.039223547041612,2.4027880281552356
45024,-8.016993318886367,-5.827287572511562,2.1897057463748055
56782,-15.330492376559247,-15.899636872109433,0.5691444955501854
36296,-14.64349266888637,-16.35975510845189,1.7162624395655186
53414,-18.87461742655927,-23.92321589052391,5.048598463964641
45324,-13.627655968886376,-11.531584011082494,2.0960719578038827
20749,-11.783397876559262,-11.659712754254896,0.12368512230436579
56052,-8.99249962655925,-7.432783990479418,1.5597156360798312
1295,-18.08102992655924,-19.950099493658065,1.8690695670988262
45259,-7.75944581888638,-9.724606369090818,1.9651605502044376
59516,-17.536992326559243,-17.061116165638865,0.47587616092037877
27530,-16.463255518886374,-15.543713750612177,0.9195417682741969
18596,-4.9778385765592486,-4.788367253735742,0.18947132282350676
39550,-16.535616118886384,-18.489227439652833,1.9536113207664485
58778,-2.153220876559258,-5.187408554820752,3.0341876782614934
55324,-34.36346782655923,-32.56313547180445,1.8003323547547794
59529,-16.78143782655924,-18.246122462989753,1.464684636430512
54241,-12.608741476559244,-10.19940840197382,2.4093330745854242
36064,-17.873993368886378,-17.94358685911406,0.0695934902276818
34732,-12.337307668886371,-13.692488029809875,1.3551803609235034
17236,-14.408190976559238,-14.542872043965982,0.1346810674067438
28628,-13.57334706888638,-17.064967904167137,3.4916208352807576
32502,-15.375217968886364,-16.51301431403863,1.1377963451522675
46268,-13.271598818886378,-13.005915292795065,0.26568352609131374
60868,-2.449875526559252,-2.2967920809287077,0.1530834456305441
48776,-12.122581818886378,-12.43520882619897,0.3126270073125923
44234,-15.842423218886385,-16.363522401311805,0.5210991824254201
31062,-15.356791618886366,-18.22673719954182,2.869945580655454
17136,-12.660659726559244,-13.507335949009237,0.8466762224499931
51290,-9.530921976559254,-9.275412480387388,0.25550949617186625
22846,-10.212574576559248,-9.454515288695056,0.7580592878641923
24836,-1.713350876559245,-3.3095028562440607,1.5961519796848158
45049,-9.354729818886373,-8.010735784173127,1.343994034713246
62149,-9.879517226559257,-10.81927710493291,0.9397598783736534
48797,-9.986569318886373,-10.027875632479368,0.041306313592995636
52536,-37.56427191888639,-35.96833173670023,1.5959401821861618
29167,-23.338094768886368,-23.50451852421796,0.16642375533159282
